オフセット,変数名,項目,単位,下限,上限
0,No3_スケジュール更新,ｽｹｼﾞｭｰﾙ更新指示,1,0,1
1,No4_スケジュール更新,ｽｹｼﾞｭｰﾙ更新指示,1,0,1
2,SRS_運転指令,運転指令,1,0,1
3,溶解槽_錫投入中,溶解槽錫投入中,1,0,1
4,トレンドデータ送信完了,トレンドデータ送信完了,1,0,1
5,No3ETL運転中,運転中 (電気),1,0,1
6,No4ETL運転中,運転中 (電気),1,0,1
7,予備1,,1,0,1
8,予備2,,1,0,1
9,予備3,,1,0,1
10,予備4,,1,0,1
11,予備5,,1,0,1
12,予備6,,1,0,1
13,予備7,,1,0,1
14,予備8,,1,0,1
15,予備9,,1,0,1
