オフセット,変数名,項目,単位,下限,上限
0,No,ロットNo. (ロット1),1,0,9999
1,Weight,ロット重量(ロット1),0.1,0,32767
2,TPH,ロットT/H (ロット1),0.01,0,32767
3,Thickness,ロット板厚 (ロット1),0.001,0,1999
4,Width,ロット板幅 (ロット1),0.1,0,20000
5,Coating,ロット目付量 (ロット1),1,0,32767
