17,0,2015/04/16 15:10:19,2015/04/16 15:14:22,演算異常
01,0,2015/04/16 15:02:14,2015/04/16 15:05:14,Ethernet通信異常
17,0,2015/04/16 11:02:40,2015/04/16 11:22:57,演算異常
13,0,2015/04/16 10:51:59,2015/04/16 11:23:01,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
17,0,2015/04/16 10:19:03,2015/04/16 10:23:06,演算異常
01,0,2015/04/16 10:12:49,2015/04/16 10:13:58,Ethernet通信異常
01,0,2015/04/16 10:09:12,2015/04/16 10:09:19,Ethernet通信異常
17,0,2015/04/15 10:51:22,2015/04/15 11:11:38,演算異常
13,0,2015/04/15 10:40:22,2015/04/15 11:11:23,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
01,0,2015/04/15 10:13:14,2015/04/15 10:13:20,Ethernet通信異常
17,0,2015/04/15 10:07:09,2015/04/15 10:11:13,演算異常
01,0,2015/04/13 18:01:39,2015/04/15 10:02:03,Ethernet通信異常
17,0,2015/04/13 14:00:08,2015/04/13 14:20:25,演算異常
13,0,2015/04/13 13:49:29,2015/04/13 14:20:30,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
17,0,2015/04/13 13:16:32,2015/04/13 13:20:35,演算異常
01,0,2015/04/13 13:08:24,2015/04/13 13:11:27,Ethernet通信異常
17,0,2015/04/13 12:55:36,2015/04/13 12:59:39,演算異常
19,0,2015/04/10 04:59:09,2015/04/10 05:03:13,スラッジ低減運転指令 なし
19,0,2015/04/10 03:46:59,2015/04/10 03:53:15,スラッジ低減運転指令 なし
11,0,2015/04/10 01:48:20,2015/04/10 02:24:57,4ETL　錫溶解補正量ΔS1x過大
19,0,2015/04/09 22:31:18,2015/04/09 22:32:19,スラッジ低減運転指令 なし
11,0,2015/04/09 20:07:21,2015/04/09 20:30:06,4ETL　錫溶解補正量ΔS1x過大
17,0,2015/04/09 19:53:06,2015/04/09 20:13:24,演算異常
13,0,2015/04/09 19:42:23,2015/04/09 20:13:24,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
17,0,2015/04/09 19:09:28,2015/04/09 19:13:31,演算異常
01,0,2015/04/09 18:35:09,2015/04/09 19:04:21,Ethernet通信異常
17,0,2015/04/09 18:34:24,2015/04/09 19:04:21,演算異常
17,0,2015/04/09 18:29:21,2015/04/09 18:29:23,演算異常
16,0,2015/04/09 18:29:17,2015/04/09 18:29:21,4ETLﾒｯｷ液返送ﾎﾟﾝﾌﾟ停止
15,0,2015/04/09 18:29:17,2015/04/09 18:29:21,3ETLﾒｯｷ液返送ﾎﾟﾝﾌﾟ停止
14,0,2015/04/09 18:29:17,2015/04/09 18:29:21,ﾒｯｷ液供給ﾎﾟﾝﾌﾟ停止
13,0,2015/04/09 18:29:17,2015/04/09 18:29:21,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
12,0,2015/04/09 18:29:17,2015/04/09 18:29:21,St.B～溶解槽供給ﾎﾟﾝﾌﾟ停止
03,0,2015/04/09 18:29:17,2015/04/09 18:29:21,ﾙｰﾌﾟ制御/　CASﾓｰﾄﾞ選択でない
02,0,2015/04/09 18:29:17,2015/04/09 18:29:21,計測器異常
17,0,2015/04/09 17:33:47,2015/04/09 17:54:06,演算異常
13,0,2015/04/09 17:22:35,2015/04/09 17:53:36,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
17,0,2015/04/09 16:50:10,2015/04/09 16:54:14,演算異常
01,0,2015/04/09 16:45:04,2015/04/09 16:45:09,Ethernet通信異常
01,0,2015/04/09 16:44:22,2015/04/09 16:44:30,Ethernet通信異常
17,0,2015/04/09 16:44:15,2015/04/09 16:44:30,演算異常
01,0,2015/04/09 16:41:23,2015/04/09 16:42:52,Ethernet通信異常
17,0,2015/04/09 14:23:28,2015/04/09 14:43:47,演算異常
13,0,2015/04/09 14:12:48,2015/04/09 14:43:49,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
17,0,2015/04/09 13:39:49,2015/04/09 13:43:53,演算異常
17,0,2015/04/09 13:34:46,2015/04/09 13:34:47,演算異常
16,0,2015/04/09 13:34:44,2015/04/09 13:34:46,4ETLﾒｯｷ液返送ﾎﾟﾝﾌﾟ停止
15,0,2015/04/09 13:34:44,2015/04/09 13:34:46,3ETLﾒｯｷ液返送ﾎﾟﾝﾌﾟ停止
14,0,2015/04/09 13:34:44,2015/04/09 13:34:46,ﾒｯｷ液供給ﾎﾟﾝﾌﾟ停止
13,0,2015/04/09 13:34:44,2015/04/09 13:34:46,溶解槽自己循環ﾎﾟﾝﾌﾟ停止
12,0,2015/04/09 13:34:44,2015/04/09 13:34:46,St.B～溶解槽供給ﾎﾟﾝﾌﾟ停止
03,0,2015/04/09 13:34:44,2015/04/09 13:34:46,ﾙｰﾌﾟ制御/　CASﾓｰﾄﾞ選択でない
02,0,2015/04/09 13:34:44,2015/04/09 13:34:46,計測器異常
17,0,2015/04/09 13:26:24,2015/04/09 13:34:44,演算異常
01,0,2015/04/09 12:39:17,2015/04/09 12:39:34,Ethernet通信異常
01,0,2015/04/09 11:54:38,2015/04/09 11:54:44,Ethernet通信異常
17,0,2015/04/09 11:54:03,2015/04/09 11:54:32,演算異常
01,0,2015/04/09 11:53:27,2015/04/09 11:53:53,Ethernet通信異常
