オフセット,変数名,項目,単位,下限,上限
0,No3_スケジュール更新完了,No3ｽｹｼﾞｭｰﾙ更新完了,1,0,1
1,No4_スケジュール更新完了,No4ｽｹｼﾞｭｰﾙ更新完了,1,0,1
2,溶解槽_酸素吹き込み中,酸素吹き込み中,1,0,1
3,SRS_運転中,運転中,1,0,1
4,トレンドデータ送信完了,トレンドデータ送信指示,1,0,1
5,予備1,,1,0,1
6,予備2,,1,0,1
7,予備3,,1,0,1
8,予備4,,1,0,1
9,予備5,,1,0,1
10,予備6,,1,0,1
11,予備7,,1,0,1
12,予備8,,1,0,1
13,予備9,,1,0,1
14,予備10,,1,0,1
15,予備11,,1,0,1
